visual_case_id,case_id,candidate_id,sampling_group,view,contact_sheet_path,status,num_images,rows,columns
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_anchor_topology,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_anchor_topology_contact_sheet.png,written,12,3,4
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_before_after_overlay,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_before_after_overlay_contact_sheet.png,written,12,3,4
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_contact_sheet.png,written,12,3,4
vqc_002,case_000109,diffsbdd_conditional_inpainting:pocket:case_000109:002,diffsbdd_reliable_strict_shadow_fail,reconnect_anchor_topology,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_anchor_topology_contact_sheet.png,written,12,3,4
vqc_002,case_000109,diffsbdd_conditional_inpainting:pocket:case_000109:002,diffsbdd_reliable_strict_shadow_fail,reconnect_before_after_overlay,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_before_after_overlay_contact_sheet.png,written,12,3,4
vqc_002,case_000109,diffsbdd_conditional_inpainting:pocket:case_000109:002,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_clash_contact_sheet.png,written,12,3,4
vqc_003,case_000552,diffsbdd_conditional_inpainting:pocket:case_000552:032,diffsbdd_reliable_strict_shadow_fail,reconnect_anchor_topology,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_anchor_topology_contact_sheet.png,written,12,3,4
vqc_003,case_000552,diffsbdd_conditional_inpainting:pocket:case_000552:032,diffsbdd_reliable_strict_shadow_fail,reconnect_before_after_overlay,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_before_after_overlay_contact_sheet.png,written,12,3,4
vqc_003,case_000552,diffsbdd_conditional_inpainting:pocket:case_000552:032,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_clash_contact_sheet.png,written,12,3,4
vqc_004,case_001704,diffsbdd_conditional_inpainting:pocket:case_001704:003,diffsbdd_reliable_strict_shadow_fail,reconnect_anchor_topology,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_anchor_topology_contact_sheet.png,written,12,3,4
