backend_name,backend_unit,case_id,base_sample_id,attempt_id,candidate_id,candidate_index,candidate_path,candidate_budget_k,candidate_readable,ligand_valid,fragment_diagnostics_status,fragment_diagnostics_reason,fixed_structure_mapping_success_for_diagnostics,fixed_structure_mapping_reason,fixed_structure_mapping_rmsd,target_mask_heavy_atom_count,generated_fragment_heavy_atom_count,generated_fragment_size_diff,generated_atom_indices_json,target_mask_elements,generated_fragment_elements,generated_element_mismatch_count,generated_size_status,candidate_total_fragment_count,candidate_single_fragment,candidate_extra_fragment_count,anchor_candidate_idx,anchor_match_success,generated_fragment_connected_to_anchor,generated_fragment_attachment_count,anchor_bond_like_distance,anchor_reconnect_status,anchor_reconnect_reason,local_reconnect_pass,local_reconnect_failure_reason,num_generated_components,num_anchor_neighbors,num_extra_attachments,floating_fragment_detected,fixed_structure_match_success,anchor_integrity,source_group,reconnect_category,reconnect_category_reason
clean_positive,original_ligand_reconnect_sanity,case_002080,complex_crossdocked_000042,clean_positive:case_002080,clean_positive:case_002080:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_002080_original.sdf,0,True,True,ok,,True,,0.0,7,7,0,"[13, 14, 15, 16, 17, 18, 19]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]",0,matched,1,True,0,2,True,True,1,1.50167977809906,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_001704,complex_crossdocked_000035,clean_positive:case_001704,clean_positive:case_001704:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_001704_original.sdf,0,True,True,ok,,True,,0.0,7,7,0,"[12, 13, 14, 15, 16, 17, 18]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]",0,matched,1,True,0,2,True,True,1,1.5373212099075317,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_002011,complex_crossdocked_000040,clean_positive:case_002011,clean_positive:case_002011:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_002011_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[30, 31, 32, 33]","[""O"", ""C"", ""F"", ""F""]","[""O"", ""C"", ""F"", ""F""]",0,matched,1,True,0,29,True,True,1,1.3862589597702026,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_001971,complex_crossdocked_000040,clean_positive:case_001971,clean_positive:case_001971:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_001971_original.sdf,0,True,True,ok,,True,,0.0,7,7,0,"[12, 13, 14, 15, 16, 17, 18]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]",0,matched,1,True,0,2,True,True,1,1.536564826965332,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_001571,complex_crossdocked_000032,clean_positive:case_001571,clean_positive:case_001571:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_001571_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[30, 31, 32, 33]","[""O"", ""C"", ""F"", ""F""]","[""O"", ""C"", ""F"", ""F""]",0,matched,1,True,0,29,True,True,1,1.3864915370941162,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_000721,complex_crossdocked_000019,clean_positive:case_000721,clean_positive:case_000721:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_000721_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[30, 31, 32, 33]","[""C"", ""O"", ""O"", ""S""]","[""C"", ""O"", ""O"", ""S""]",0,matched,1,True,0,29,True,True,1,1.7872421741485596,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_001593,complex_crossdocked_000033,clean_positive:case_001593,clean_positive:case_001593:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_001593_original.sdf,0,True,True,ok,,True,,0.0,7,7,0,"[12, 13, 14, 15, 16, 17, 18]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]","[""N"", ""C"", ""O"", ""C"", ""O"", ""C"", ""C""]",0,matched,1,True,0,2,True,True,1,1.5364277362823486,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_002281,complex_crossdocked_000045,clean_positive:case_002281,clean_positive:case_002281:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_002281_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[31, 32, 33, 34]","[""O"", ""C"", ""F"", ""F""]","[""O"", ""C"", ""F"", ""F""]",0,matched,1,True,0,30,True,True,1,1.340142011642456,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_000806,complex_crossdocked_000021,clean_positive:case_000806,clean_positive:case_000806:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_000806_original.sdf,0,True,True,ok,,True,,0.0,5,5,0,"[6, 7, 8, 9, 10]","[""O"", ""O"", ""P"", ""O"", ""O""]","[""O"", ""O"", ""P"", ""O"", ""O""]",0,matched,1,True,0,0,True,True,1,1.4449585676193237,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_002599,complex_diffsbdd_5ndu,clean_positive:case_002599,clean_positive:case_002599:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_002599_original.sdf,0,True,True,ok,,True,,0.0,8,8,0,"[5, 29, 30, 42, 75, 76, 77, 90]","[""O"", ""C"", ""C"", ""N"", ""H"", ""H"", ""H"", ""H""]","[""O"", ""C"", ""C"", ""N"", ""H"", ""H"", ""H"", ""H""]",0,matched,1,True,0,10,True,True,1,1.5030221939086914,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_002333,complex_crossdocked_000046,clean_positive:case_002333,clean_positive:case_002333:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_002333_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[31, 32, 33, 34]","[""O"", ""C"", ""F"", ""F""]","[""O"", ""C"", ""F"", ""F""]",0,matched,1,True,0,30,True,True,1,1.339301347732544,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_001906,complex_crossdocked_000038,clean_positive:case_001906,clean_positive:case_001906:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_001906_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[30, 31, 32, 33]","[""O"", ""C"", ""F"", ""F""]","[""O"", ""C"", ""F"", ""F""]",0,matched,1,True,0,29,True,True,1,1.3854799270629883,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_000347,complex_crossdocked_000010,clean_positive:case_000347,clean_positive:case_000347:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_000347_original.sdf,0,True,True,ok,,True,,0.0,2,2,0,"[21, 22]","[""C"", ""O""]","[""C"", ""O""]",0,matched,1,True,0,16,True,True,1,1.516124963760376,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
clean_positive,original_ligand_reconnect_sanity,case_001730,complex_crossdocked_000035,clean_positive:case_001730,clean_positive:case_001730:original,1,/home/lyj/mnt/project/clash2feedback_gc/data/benchmarks/clashrepairbench_rg_artificial/v0_1/ligands/case_001730_original.sdf,0,True,True,ok,,True,,0.0,4,4,0,"[30, 31, 32, 33]","[""O"", ""C"", ""F"", ""F""]","[""O"", ""C"", ""F"", ""F""]",0,matched,1,True,0,29,True,True,1,1.3854570388793945,pass,,True,,1,1,0,False,True,True,clean_positive,single_anchor_reconnect_pass,single_anchor_connected
