case_id,base_sample_id,base_complex_id,base_split,derived_split,oracle_split,injection_mode,difficulty_bin,set_membership_s0,set_membership_s1,set_membership_s2,circularity_risk_level,target_rgroup,target_atom_indices,predicted_dominant_valid_rgroup,top_valid_rgroups_json,target_score_ratio_valid,dominant_ratio_valid_rgroups,failure_type,recommended_action,predicted_equals_oracle,oracle_mask_rgroup,oracle_mask_atom_indices,oracle_keep_atom_indices,oracle_anchor_scaffold_atom_idx,oracle_anchor_rgroup_atom_idx,oracle_anchor_bond_idx,oracle_mask_available,oracle_mask_reason,predicted_mask_rgroup,predicted_mask_atom_indices,predicted_keep_atom_indices,predicted_anchor_scaffold_atom_idx,predicted_anchor_rgroup_atom_idx,predicted_anchor_bond_idx,predicted_mask_available,predicted_mask_reason,random_mask_rgroup,random_mask_atom_indices,random_keep_atom_indices,random_anchor_scaffold_atom_idx,random_anchor_rgroup_atom_idx,random_anchor_bond_idx,random_mask_available,random_mask_policy,random_mask_fallback_reason,random_equals_oracle,random_equals_predicted,old_clash_pairs_json,protein_clash_hot_atoms_json,protein_clash_hot_residues_json,target_num_severe_pairs,non_target_num_severe_pairs,scaffold_num_severe_pairs,num_total_severe_pairs,max_clash_depth,total_clash_score,phase4_0_backend_feasibility_candidate,phase4_1_formal_loop_candidate,phase4_candidate_reason,phase4_exclusion_reason
case_000041,complex_crossdocked_000002,complex_crossdocked_000002,test,test,supported_single_rgroup,easy_rotation,easy,True,True,True,high,R4,"[10, 11]",R4,"[{""region"": ""R4"", ""score"": 0.20314859847718786}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 11, ""protein_atom_idx"": 75, ""protein_atom_position"": 75, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.1040003299713135, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.5359995365142822, ""is_severe"": true, ""ligand_region"": ""R4"", ""protein_residue_key"": ""A:446::GLY""}]",[75],"[""A:446::GLY""]",1,0,0,1,0.5359995365142822,0.28729550314352537,True,True,"S2 case with oracle, predicted and random masks available",
case_000048,complex_crossdocked_000002,complex_crossdocked_000002,test,test,supported_single_rgroup,directed_clash,easy,True,True,True,high,R4,"[10, 11]",R4,"[{""region"": ""R4"", ""score"": 0.12438612136686479}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 11, ""protein_atom_idx"": 75, ""protein_atom_position"": 75, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.220585346221924, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.4194145202636719, ""is_severe"": true, ""ligand_region"": ""R4"", ""protein_residue_key"": ""A:446::GLY""}]",[75],"[""A:446::GLY""]",1,0,0,1,0.4194145202636719,0.17590853980800603,True,True,"S2 case with oracle, predicted and random masks available",
case_000059,complex_crossdocked_000002,complex_crossdocked_000002,test,test,supported_single_rgroup,easy_rotation,easy,True,True,True,high,R8,"[21, 22]",R8,"[{""region"": ""R8"", ""score"": 0.18417924933948307}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 22, ""protein_atom_idx"": 69, ""protein_atom_position"": 69, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.129638433456421, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.5103614330291748, ""is_severe"": true, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:445::SER""}]",[69],"[""A:445::SER""]",1,0,0,1,0.5103614330291748,0.2604687923235929,True,True,"S2 case with oracle, predicted and random masks available",
case_000095,complex_crossdocked_000003,complex_crossdocked_000003,test,test,supported_single_rgroup,easy_rotation,easy,True,True,True,high,R8,"[21, 22]",R8,"[{""region"": ""R8"", ""score"": 0.30692911243269955}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 22, ""protein_atom_idx"": 69, ""protein_atom_position"": 69, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 1.9811650514602661, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.6588348150253296, ""is_severe"": true, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:445::SER""}]",[69],"[""A:445::SER""]",1,0,0,1,0.6588348150253296,0.43406331348946026,True,True,"S2 case with oracle, predicted and random masks available",
case_000102,complex_crossdocked_000003,complex_crossdocked_000003,test,test,supported_single_rgroup,directed_clash,easy,True,True,True,high,R8,"[21, 22]",R8,"[{""region"": ""R8"", ""score"": 0.12726613456593464}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 22, ""protein_atom_idx"": 69, ""protein_atom_position"": 69, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.2157576084136963, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.4242422580718994, ""is_severe"": true, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:445::SER""}]",[69],"[""A:445::SER""]",1,0,0,1,0.4242422580718994,0.1799814935339441,True,True,"S2 case with oracle, predicted and random masks available",
case_000109,complex_crossdocked_000004,complex_crossdocked_000004,test,test,supported_single_rgroup,easy_rotation,easy,True,True,True,high,R4,"[10, 11]",R4,"[{""region"": ""R4"", ""score"": 0.29622665331732795}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 11, ""protein_atom_idx"": 65, ""protein_atom_position"": 65, ""ligand_element"": ""O"", ""protein_element"": ""C"", ""distance"": 2.684868097305298, ""vdw_sum"": 3.2200000286102295, ""clash_depth"": 0.1351318359375, ""is_severe"": false, ""ligand_region"": ""R4"", ""protein_residue_key"": ""A:627::ASN""}, {""ligand_atom_idx"": 11, ""protein_atom_idx"": 66, ""protein_atom_position"": 66, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.007017135620117, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.6329827308654785, ""is_severe"": true, ""ligand_region"": ""R4"", ""protein_residue_key"": ""A:627::ASN""}]","[65, 66]","[""A:627::ASN""]",1,0,0,1,0.6329827308654785,0.4189277506577582,True,True,"S2 case with oracle, predicted and random masks available",
case_000120,complex_crossdocked_000004,complex_crossdocked_000004,test,test,supported_single_rgroup,directed_clash,easy,True,True,True,high,R4,"[10, 11]",R4,"[{""region"": ""R4"", ""score"": 0.14797038953019837}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 11, ""protein_atom_idx"": 66, ""protein_atom_position"": 66, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.1825485229492188, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.45745134353637695, ""is_severe"": true, ""ligand_region"": ""R4"", ""protein_residue_key"": ""A:627::ASN""}]",[66],"[""A:627::ASN""]",1,0,0,1,0.45745134353637695,0.20926173170323636,True,True,"S2 case with oracle, predicted and random masks available",
case_000163,complex_crossdocked_000005,complex_crossdocked_000005,test,test,supported_single_rgroup,easy_rotation,easy,True,True,True,high,R8,"[21, 22]",R8,"[{""region"": ""R8"", ""score"": 0.16292081407261735}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 22, ""protein_atom_idx"": 75, ""protein_atom_position"": 75, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.1599948406219482, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.48000502586364746, ""is_severe"": true, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:446::GLY""}]",[75],"[""A:446::GLY""]",1,0,0,1,0.48000502586364746,0.23040482485436087,True,True,"S2 case with oracle, predicted and random masks available",
case_000202,complex_crossdocked_000006,complex_crossdocked_000006,test,test,supported_single_rgroup,easy_rotation,easy,True,True,True,high,R8,"[21, 22]",R8,"[{""region"": ""R8"", ""score"": 0.2798558336608269}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 22, ""protein_atom_idx"": 59, ""protein_atom_position"": 59, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.010892629623413, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.6291072368621826, ""is_severe"": true, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:446::GLY""}]",[59],"[""A:446::GLY""]",1,0,0,1,0.6291072368621826,0.39577591547237034,True,True,"S2 case with oracle, predicted and random masks available",
case_000210,complex_crossdocked_000006,complex_crossdocked_000006,test,test,supported_single_rgroup,directed_clash,easy,True,True,True,high,R8,"[21, 22]",R8,"[{""region"": ""R8"", ""score"": 0.2817971731724771}]",1.0,1.0,single_rgroup_clash,local_rgroup_repair,True,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R8,"[21, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,21,21,True,ok,R4,"[10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",5,10,9,True,size_matched_valid_single_anchor_rgroup,primary_exclude_oracle_and_predicted,False,False,"[{""ligand_atom_idx"": 22, ""protein_atom_idx"": 58, ""protein_atom_position"": 58, ""ligand_element"": ""O"", ""protein_element"": ""C"", ""distance"": 2.6016712188720703, ""vdw_sum"": 3.2200000286102295, ""clash_depth"": 0.21832871437072754, ""is_severe"": false, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:446::GLY""}, {""ligand_atom_idx"": 22, ""protein_atom_idx"": 59, ""protein_atom_position"": 59, ""ligand_element"": ""O"", ""protein_element"": ""O"", ""distance"": 2.047670602798462, ""vdw_sum"": 3.0399999618530273, ""clash_depth"": 0.5923292636871338, ""is_severe"": true, ""ligand_region"": ""R8"", ""protein_residue_key"": ""A:446::GLY""}]","[58, 59]","[""A:446::GLY""]",1,0,0,1,0.5923292636871338,0.3985213841389168,True,True,"S2 case with oracle, predicted and random masks available",
